task,repr,algo,k,silhouette,davies_bouldin,calinski_harabasz,ari,nmi,purity,latent_dim,beta,spec_mels,spec_frames,lyrics_svd_dim,lyrics_max_features
hard,cvae_latent,kmeans8,8,0.4156855642795563,1.1814928957021267,3835.179345267551,0.13733969713466251,0.09797512417721498,0.6931780366056572,16.0,1.0,64,256,256,20000
hard,pca_concat,kmeans6,6,0.1953829973936081,1.7020171044227876,748.6915917975646,0.05929445213651615,0.21184340990881606,0.6931780366056572,,,64,256,256,20000
hard,ae_concat,kmeans6,6,0.08582001179456711,2.6570307742920467,280.1302480822851,0.06309626156381173,0.20781965731097377,0.6945091514143095,,,64,256,256,20000
hard,direct_spectral,kmeans6,6,0.22665905952453613,1.6082834990941421,854.4990336011924,0.0606065856549788,0.2110375216693062,0.6931780366056572,,,64,256,256,20000
