task,repr,k,method,silhouette,calinski_harabasz,davies_bouldin,ari,nmi,purity,vae_latent_dim,vae_hidden_dim,vae_beta,vae_epochs,vae_seed
easy,mfcc->pca16_l2,6,mfcc->pca16_l2+kmeans6,0.14333361387252808,569.3199384347888,2.1831377432260526,0.03819103360078393,0.16857338167499414,0.6931780366056572,,,,,
easy,mfcc->pca16_l2,8,mfcc->pca16_l2+kmeans8,0.1340823471546173,461.69430020028705,2.0940863495548774,0.01236420884666911,0.1639460192575769,0.6931780366056572,,,,,
easy,mfcc->pca16_l2,10,mfcc->pca16_l2+kmeans10,0.11428500711917877,390.5883610675935,2.158410718544351,0.03236821138074607,0.18801781894438832,0.7158069883527455,,,,,
easy,mfcc->pca16_l2,12,mfcc->pca16_l2+kmeans12,0.10701177269220352,341.10719118858856,2.1938450332251667,0.02670459858508121,0.1866097778555151,0.7158069883527455,,,,,
easy,mfcc->pca16_l2,15,mfcc->pca16_l2+kmeans15,0.09908712655305862,287.13688261244374,2.2017923056500925,0.023858912668551793,0.18694245556926187,0.7091514143094841,,,,,
easy,mfcc->vae_ld16_hd128_b0.1_e60_l2,6,mfcc->vae_ld16_hd128_b0.1_e60_l2+kmeans6,0.0702599361538887,194.4149421112156,2.6768415144094497,0.006831613440134729,0.04613308184884082,0.6931780366056572,16.0,128.0,0.1,60.0,42.0
easy,mfcc->vae_ld16_hd128_b0.1_e60_l2,8,mfcc->vae_ld16_hd128_b0.1_e60_l2+kmeans8,0.06733190268278122,162.43058761287355,2.5642351281902345,0.007377125709437194,0.05163718984783616,0.6931780366056572,16.0,128.0,0.1,60.0,42.0
easy,mfcc->vae_ld16_hd128_b0.1_e60_l2,10,mfcc->vae_ld16_hd128_b0.1_e60_l2+kmeans10,0.06277211755514145,143.7763460509011,2.575605902159654,0.005099289471100955,0.05920985004952686,0.6931780366056572,16.0,128.0,0.1,60.0,42.0
easy,mfcc->vae_ld16_hd128_b0.1_e60_l2,12,mfcc->vae_ld16_hd128_b0.1_e60_l2+kmeans12,0.06085248664021492,127.28553894512879,2.648729661836733,0.008676833306263893,0.06225989327512983,0.6931780366056572,16.0,128.0,0.1,60.0,42.0
easy,mfcc->vae_ld16_hd128_b0.1_e60_l2,15,mfcc->vae_ld16_hd128_b0.1_e60_l2+kmeans15,0.056526850908994675,108.98272226390796,2.5214218838051745,0.006912460209022536,0.06857646166289222,0.6931780366056572,16.0,128.0,0.1,60.0,42.0
easy,mfcc->vae_ld16_hd256_b0.01_e120_l2,6,mfcc->vae_ld16_hd256_b0.01_e120_l2+kmeans6,0.35090407729148865,1919.2199069201013,0.9209665325408407,0.018877803181857333,0.1256817918830721,0.6931780366056572,16.0,256.0,0.01,120.0,42.0
easy,mfcc->vae_ld16_hd256_b0.01_e120_l2,8,mfcc->vae_ld16_hd256_b0.01_e120_l2+kmeans8,0.33691561222076416,1866.1121942925304,1.0094975111072024,0.022909595632198628,0.15019592945507523,0.6965058236272879,16.0,256.0,0.01,120.0,42.0
easy,mfcc->vae_ld16_hd256_b0.01_e120_l2,10,mfcc->vae_ld16_hd256_b0.01_e120_l2+kmeans10,0.33879807591438293,1864.8649297744973,0.9243541203084245,0.034509172069350606,0.16041076699588827,0.7054908485856906,16.0,256.0,0.01,120.0,42.0
easy,mfcc->vae_ld16_hd256_b0.01_e120_l2,12,mfcc->vae_ld16_hd256_b0.01_e120_l2+kmeans12,0.3370535969734192,1824.7794088410262,0.907057448404707,0.030886485314609337,0.16130652940777068,0.7071547420965059,16.0,256.0,0.01,120.0,42.0
easy,mfcc->vae_ld16_hd256_b0.01_e120_l2,15,mfcc->vae_ld16_hd256_b0.01_e120_l2+kmeans15,0.336555153131485,1835.9122291186575,0.9061911493656418,0.02194215022711795,0.16722042980305674,0.7048252911813644,16.0,256.0,0.01,120.0,42.0
easy,mfcc->vae_ld32_hd256_b0.01_e120_l2,6,mfcc->vae_ld32_hd256_b0.01_e120_l2+kmeans6,0.23824775218963623,785.3010049547927,1.2881474447894117,0.034223905711531825,0.15808418802093493,0.6931780366056572,32.0,256.0,0.01,120.0,42.0
easy,mfcc->vae_ld32_hd256_b0.01_e120_l2,8,mfcc->vae_ld32_hd256_b0.01_e120_l2+kmeans8,0.2518066465854645,755.436218048098,1.2103894715156822,0.03718973342953645,0.16225383953375613,0.7058236272878535,32.0,256.0,0.01,120.0,42.0
easy,mfcc->vae_ld32_hd256_b0.01_e120_l2,10,mfcc->vae_ld32_hd256_b0.01_e120_l2+kmeans10,0.23954731225967407,701.5678183597961,1.2490568231216594,0.02564316515170055,0.16131648109951077,0.6935108153078203,32.0,256.0,0.01,120.0,42.0
easy,mfcc->vae_ld32_hd256_b0.01_e120_l2,12,mfcc->vae_ld32_hd256_b0.01_e120_l2+kmeans12,0.2452826201915741,678.9033422230739,1.2042429820314093,0.02933887162963781,0.1704119924333954,0.7021630615640599,32.0,256.0,0.01,120.0,42.0
easy,mfcc->vae_ld32_hd256_b0.01_e120_l2,15,mfcc->vae_ld32_hd256_b0.01_e120_l2+kmeans15,0.2396852821111679,630.2320213249699,1.2004454391269697,0.029129274403090946,0.17314568784614004,0.7038269550748752,32.0,256.0,0.01,120.0,42.0
easy,mfcc->vae_ld16_hd256_b0.001_e120_l2,6,mfcc->vae_ld16_hd256_b0.001_e120_l2+kmeans6,0.08669602125883102,195.69287911522932,2.584062034553924,0.042968321282821666,0.17963501264288778,0.718801996672213,16.0,256.0,0.001,120.0,42.0
easy,mfcc->vae_ld16_hd256_b0.001_e120_l2,8,mfcc->vae_ld16_hd256_b0.001_e120_l2+kmeans8,0.08743797987699509,168.0754829646035,2.464306976620255,0.0388503778991892,0.16520920224997565,0.7141430948419302,16.0,256.0,0.001,120.0,42.0
easy,mfcc->vae_ld16_hd256_b0.001_e120_l2,10,mfcc->vae_ld16_hd256_b0.001_e120_l2+kmeans10,0.08873927593231201,150.52564259555243,2.3418140692429947,0.033698044447994784,0.15897912553360408,0.7078202995008319,16.0,256.0,0.001,120.0,42.0
easy,mfcc->vae_ld16_hd256_b0.001_e120_l2,12,mfcc->vae_ld16_hd256_b0.001_e120_l2+kmeans12,0.08925306051969528,136.41480063591723,2.2757988669512983,0.03517452046881168,0.15518962174445944,0.7121464226289518,16.0,256.0,0.001,120.0,42.0
easy,mfcc->vae_ld16_hd256_b0.001_e120_l2,15,mfcc->vae_ld16_hd256_b0.001_e120_l2+kmeans15,0.08474326133728027,123.44886231223401,2.22844683899057,0.02537027222913224,0.16041215152544303,0.7091514143094841,16.0,256.0,0.001,120.0,42.0
