task,k,method,silhouette,calinski_harabasz,davies_bouldin,ari,nmi,purity,vae_latent_dim,vae_hidden_dim,vae_beta,vae_epochs,vae_seed
easy,6,mfcc->pca16_l2+kmeans6,0.14333361387252808,569.3199384347888,2.1831377432260526,0.03819103360078393,0.16857338167499414,0.6931780366056572,,,,,
easy,6,mfcc->vae_ld16_hd256_b0.01_e120_l2+kmeans6,0.35090407729148865,1919.2199069201013,0.9209665325408407,0.018877803181857333,0.1256817918830721,0.6931780366056572,16.0,256.0,0.01,120.0,42.0
