repr,algo,k,eps,min_samples,silhouette,davies_bouldin,ari,latent_dim,hidden_channels,beta,epochs,batch_size,lr,audio_recon_weight,lyrics_recon_weight,spec_mels,spec_frames,lyrics_svd_dim,lyrics_max_features
hybrid_pca_baseline,dbscan,,0.9,20.0,0.026218261569738388,5.565783590363308,-0.0022201123935169887,,,,,,,,,64,256,256,20000
hybrid_pca_baseline,dbscan,,1.1,5.0,,,0.0,,,,,,,,,64,256,256,20000
hybrid_pca_baseline,dbscan,,1.1,10.0,,,0.0,,,,,,,,,64,256,256,20000
hybrid_pca_baseline,dbscan,,1.1,20.0,,,0.0,,,,,,,,,64,256,256,20000
hybrid_pca_baseline,dbscan,,1.3,5.0,,,0.0,,,,,,,,,64,256,256,20000
hybrid_pca_baseline,dbscan,,1.3,10.0,,,0.0,,,,,,,,,64,256,256,20000
hybrid_pca_baseline,dbscan,,1.3,20.0,,,0.0,,,,,,,,,64,256,256,20000
hybrid_pca_baseline,kmeans6,6.0,,,0.1953829973936081,1.7020171044227876,0.05929445213651615,,,,,,,,,64,256,256,20000
hybrid_pca_baseline,kmeans8,8.0,,,0.17223471403121948,1.7952718113361148,0.016244652143344494,,,,,,,,,64,256,256,20000
hybrid_spec_mmvae,agglo6,6.0,,,0.015537143684923649,3.7980699867238346,0.04499423435865983,16.0,128.0,0.001,60.0,32.0,0.001,1.0,1.0,64,256,256,20000
hybrid_spec_mmvae,agglo8,8.0,,,0.01678137294948101,3.8653135027061607,0.06524614600956523,16.0,128.0,0.001,60.0,32.0,0.001,1.0,1.0,64,256,256,20000
hybrid_spec_mmvae,dbscan,,0.2,5.0,-0.06383957713842392,1.0641455707225147,0.0035951003469550037,16.0,128.0,0.001,60.0,32.0,0.001,1.0,1.0,64,256,256,20000
hybrid_spec_mmvae,dbscan,,0.2,10.0,,,0.0,16.0,128.0,0.001,60.0,32.0,0.001,1.0,1.0,64,256,256,20000
hybrid_spec_mmvae,dbscan,,0.2,20.0,,,0.0,16.0,128.0,0.001,60.0,32.0,0.001,1.0,1.0,64,256,256,20000
hybrid_spec_mmvae,dbscan,,0.3,5.0,-0.08120162039995193,1.0898571748397679,0.028467641650892415,16.0,128.0,0.001,60.0,32.0,0.001,1.0,1.0,64,256,256,20000
