task,stage,repr,algo,k,eps,min_samples,silhouette,davies_bouldin,calinski_harabasz,ari,nmi,purity,latent_dim,hidden_channels,beta,epochs,batch_size,lr,audio_recon_weight,lyrics_recon_weight,spec_mels,spec_frames,lyrics_svd_dim,lyrics_max_features
medium,final,hybrid_spec_mmvae,kmeans6,6.0,,,0.0590585358440876,3.1285006043747043,140.48684894647545,0.10619412444194735,0.24375590307592165,0.7114808652246256,16.0,128.0,0.001,60.0,32.0,0.001,1.0,1.0,64,256,256,20000
medium,final,hybrid_spec_mmvae,agglo6,6.0,,,0.015537143684923649,3.7980699867238346,90.4107737764224,0.04499423435865983,0.16407300518530368,0.6981697171381032,16.0,128.0,0.001,60.0,32.0,0.001,1.0,1.0,64,256,256,20000
medium,final,audio_pca_baseline,kmeans6,6.0,,,0.2418014258146286,1.510877707257399,964.6519792109506,0.05723532333574181,0.20769326402820665,0.6931780366056572,,,,,,,,,64,256,256,20000
medium,final,audio_pca_baseline,agglo6,6.0,,,0.17268626391887665,1.7459268460840853,793.127466379019,0.0871072094069699,0.22718252331069858,0.7357737104825292,,,,,,,,,64,256,256,20000
medium,final,lyrics_baseline,kmeans6,6.0,,,-0.01078023761510849,5.097254841359056,47.49493924996951,0.012136569101720703,0.08910885687068104,0.7004991680532446,,,,,,,,,64,256,256,20000
medium,final,lyrics_baseline,agglo6,6.0,,,-0.03903839737176895,4.957870157154626,32.835076694427826,0.01874718056936696,0.07913398236106162,0.6998336106489185,,,,,,,,,64,256,256,20000
medium,final,hybrid_pca_baseline,kmeans6,6.0,,,0.1953829973936081,1.7020171044227876,748.6915917975646,0.05929445213651615,0.21184340990881606,0.6931780366056572,,,,,,,,,64,256,256,20000
medium,final,hybrid_pca_baseline,agglo6,6.0,,,0.12760581076145172,2.0196725363533243,619.3449000750736,0.042002929054463956,0.23352731435803656,0.7314475873544093,,,,,,,,,64,256,256,20000
medium,final,hybrid_spec_mmvae,kmeans8,8.0,,,0.06067482382059097,2.9047472291157934,125.3623351833435,0.07909737946289915,0.24685838608369487,0.7440931780366057,16.0,128.0,0.001,60.0,32.0,0.001,1.0,1.0,64,256,256,20000
medium,final,hybrid_spec_mmvae,agglo8,8.0,,,0.01678137294948101,3.8653135027061607,80.21394698206473,0.06524614600956523,0.17638612669636364,0.7191347753743761,16.0,128.0,0.001,60.0,32.0,0.001,1.0,1.0,64,256,256,20000
medium,final,audio_pca_baseline,kmeans8,8.0,,,0.17881038784980774,1.6322612410484436,794.6479515345715,0.04057327718676839,0.23238748826615632,0.7357737104825292,,,,,,,,,64,256,256,20000
medium,final,audio_pca_baseline,agglo8,8.0,,,0.13430261611938477,1.7535580031372628,673.7214414872376,0.026219771279432244,0.2211306832052894,0.7357737104825292,,,,,,,,,64,256,256,20000
medium,final,lyrics_baseline,kmeans8,8.0,,,-0.008940503001213074,5.179228470772449,39.511862553987896,0.02792392956475609,0.12399642586803875,0.7144758735440931,,,,,,,,,64,256,256,20000
medium,final,lyrics_baseline,agglo8,8.0,,,-0.03447588160634041,4.421785177236095,28.30032492549265,0.04574948025715749,0.10210809521221217,0.7058236272878535,,,,,,,,,64,256,256,20000
medium,final,hybrid_pca_baseline,kmeans8,8.0,,,0.17223471403121948,1.7952718113361148,611.7347537013075,0.016244652143344494,0.2064981072838986,0.6961730449251248,,,,,,,,,64,256,256,20000
medium,final,hybrid_pca_baseline,agglo8,8.0,,,0.10758066922426224,1.925157380654636,513.2600853363346,0.046023083278469795,0.235991291413815,0.7314475873544093,,,,,,,,,64,256,256,20000
medium,final,hybrid_spec_mmvae,dbscan,,0.2,5.0,-0.06383957713842392,1.0641455707225147,5.513520254472136,0.0035951003469550037,0.010488593596725725,0.6948419301164726,16.0,128.0,0.001,60.0,32.0,0.001,1.0,1.0,64,256,256,20000
medium,final,audio_pca_baseline,dbscan,,0.2,5.0,-0.09655361622571945,1.1289704520355266,71.97247480552394,0.1988591928607112,0.10766114443489615,0.7088186356073212,,,,,,,,,64,256,256,20000
medium,final,lyrics_baseline,dbscan,,0.2,5.0,,,,0.0,0.0,0.6931780366056572,,,,,,,,,64,256,256,20000
medium,final,hybrid_pca_baseline,dbscan,,0.2,5.0,-0.02727731503546238,1.1346365112834254,5.93524202133049,0.007570511365193363,0.011597921398237059,0.6941763727121464,,,,,,,,,64,256,256,20000
medium,final,hybrid_spec_mmvae,dbscan,,0.2,10.0,,,,0.0,0.0,0.6931780366056572,16.0,128.0,0.001,60.0,32.0,0.001,1.0,1.0,64,256,256,20000
medium,final,audio_pca_baseline,dbscan,,0.2,10.0,0.002710093045607209,1.1744989464905817,176.57304135495343,0.18610954984943942,0.10530445060029753,0.7091514143094841,,,,,,,,,64,256,256,20000
medium,final,lyrics_baseline,dbscan,,0.2,10.0,,,,0.0,0.0,0.6931780366056572,,,,,,,,,64,256,256,20000
medium,final,hybrid_pca_baseline,dbscan,,0.2,10.0,,,,0.0,0.0,0.6931780366056572,,,,,,,,,64,256,256,20000
medium,final,hybrid_spec_mmvae,dbscan,,0.2,20.0,,,,0.0,0.0,0.6931780366056572,16.0,128.0,0.001,60.0,32.0,0.001,1.0,1.0,64,256,256,20000
medium,final,audio_pca_baseline,dbscan,,0.2,20.0,-0.02156210131943226,1.170637166872058,126.00655147048543,0.13929762450376734,0.08050842239932934,0.7061564059900166,,,,,,,,,64,256,256,20000
medium,final,lyrics_baseline,dbscan,,0.2,20.0,,,,0.0,0.0,0.6931780366056572,,,,,,,,,64,256,256,20000
